Date/Time,Type/Offense,Location,Race,Gender,Age,Reason,Officer Initiated
9/12/2015 20:49,FIO,ALBEMARLE RD & NORTH ST (NV),W,M,75,Call for a male sleeping on a bench,No
9/24/2015 18:39,FIO,PARKER ST & WHEELER RD,B,F,25,Call For Solicitors in the Area Ringing Doorbells,No
10/6/2015 13:31,FIO,WABASSO ST,W,M,52,Call for tents in the woods off of Wabasso St,No
10/6/2015 13:31,FIO,WABASSO ST,W,F,45,Call for tents in the woods off of Wabasso St,No
11/28/2015 0:37,FIO,41 CLARENDON ST,W,M,18,Stopped after a call for B&E M/V,No
11/28/2015 0:37,FIO,41 CLARENDON ST,W,M,18,Stopped after a call for B&E M/V,No
12/6/2015 17:27,FIO,STARBUCKS COFFEE / 474 WOODWARD ST,W,M,40,Officer approched by female about a suspicious male,No
12/7/2015 11:02,FIO,21 MORELAND AVE,W,F,34,Well being check called in,No
1/26/2016 19:51,FIO,LAS WOLFE BUILDING / 216 WOODLAND RD,B,F,48,Assisted Lasell PD with at B&E Investigation,Yes
1/27/2016 20:20,FIO,CHESTNUT HILL MALL - UPPER / 199 BOYLSTON ST,B,F,17,DP at Mall for Recent Retail Thefts,Yes
2/3/2016 23:35,FIO,ELM ST,W,M,20,Stop of a possible Robbery suspect,Yes
2/3/2016 23:35,FIO,ELM ST,W,M,23,Stop of a possible Robbery suspect,Yes
2/11/2016 13:16,FIO,AT&T WIRELESS SERVICES / 88 NEEDHAM ST,B,F,17,FIO of possible Shoplifters Identified in a flyer,No
2/11/2016 13:16,FIO,AT&T WIRELESS SERVICES / 88 NEEDHAM ST,B,F,16,FIO of possible Shoplifters Identified in a flyer,No
2/11/2016 13:16,FIO,AT&T WIRELESS SERVICES / 88 NEEDHAM ST,B,M,53,FIO of possible Shoplifters Identified in a flyer,No
3/17/2016 0:22,FIO,CHARLES RIVER CANOE & KAYAK / 2401 COMMONWEALTH AVE,B,M,35,"Male Stopped officers to get a ride to meet a ""lady Friend""",No
